Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0123059234223451,-0.100304574267466,1.7006088289757E-17,0,0,0,8.42454047875456,0.0538535223566871,1.34806067324256E-18,3.94153228574131E-19,0.0474155131881787,9.22661053587575E-19,0.0522226317316871,0,0,0,0,0,0,package://arm0717_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm0717_description/meshes/base_link.STL,,link_1-1,座標系統1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,0.0873279857714775,0.0399699522178334,-0.0065808069605363,0,0,0,5.65179598675955,0.0334123150568175,-0.00929268144862595,0.00152998288378939,0.031712702102003,0.000870235823860031,0.0368549883284273,0,0,0,0,0,0,package://arm0717_description/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm0717_description/meshes/link_2.STL,,link_2-1,座標系統2,基準軸1to2,joint2,revolute,0.003161,-0.203,-0.00052044,3.1416,0,-1.5708,base_link,-1,0,0,0,0,0,0,,,,,,,,
link_3,0.0269856699858579,0.108613986777404,-0.0131700166645286,0,0,0,1.81899821933697,0.0208920270655717,-6.46843395750531E-05,7.84331609043551E-06,0.00253245042725667,0.0020303771980531,0.0190309097570163,0,0,0,0,0,0,package://arm0717_description/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm0717_description/meshes/link_3.STL,,link_3-1,座標系統3,基準軸2to3,joint3,revolute,0.12791,0.08589,0.067949,3.1416,-1.4076,1.5708,link_2,-1,0,0,0,0,0,0,,,,,,,,
link_4,0,0.0505156155126493,0.01237701303467,0,0,0,3.82808754456696,0.0201780834303075,1.02054395401905E-18,-1.30104260698261E-18,0.0126480096719491,-0.00224732475144833,0.018457351525643,0,0,0,0,0,0,package://arm0717_description/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm0717_description/meshes/link_4.STL,,link_4-1,座標系統4,基準軸3to4,joint4,revolute,-0.074,0.24523,-0.029735,0,0,0,link_3,-1,0,0,0,0,0,0,,,,,,,,
link_5,0.0743030110589211,-1.11022302462516E-16,1.04083408558608E-17,0,0,0,1.37952769169633,0.00264530874714722,-4.02340649945793E-19,4.87890977618477E-19,0.00480500973038069,-0.000256690753608414,0.00496542431383725,0,0,0,0,0,0,package://arm0717_description/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm0717_description/meshes/link_5.STL,,link_5-1,座標系統5,基準軸4to5,joint5,revolute,0,0.077794,0.1037,1.5708,-1.3334,-1.5708,link_4,-1,0,0,0,0,0,0,,,,,,,,
link_6,0,-0.010763768412671,0.00562866264335971,0,0,0,0.515366765623615,0.00071236571122841,-2.71050543121376E-20,-5.42101086242752E-20,0.00056392241031998,5.80452413969748E-05,0.000644569707282097,0,0,0,0,0,0,package://arm0717_description/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm0717_description/meshes/link_6.STL,,link_6-1,座標系統6,基準軸5to6,joint6,revolute,0.185,0,0,-1.9586,0.63397,-1.5708,link_5,-1,0,0,0,0,0,0,,,,,,,,
